입국국가,국가코드,입국연월,입국자수
일본,130,202001,203969
일본,130,202002,211199
일본,130,202003,8347
일본,130,202004,360
일본,130,202005,413
일본,130,202006,498
일본,130,202007,755
일본,130,202008,1275
일본,130,202009,794
일본,130,202010,927
일본,130,202011,1254
일본,130,202012,951
일본,130,202101,1299
일본,130,202102,1719
일본,130,202103,949
일본,130,202104,872
일본,130,202105,1403
일본,130,202106,875
일본,130,202107,881
일본,130,202108,2258
일본,130,202109,1142
일본,130,202110,1237
일본,130,202111,1623
일본,130,202112,1007
일본,130,202201,1162
일본,130,202202,2934
일본,130,202203,1397
일본,130,202204,2231
일본,130,202205,3701
일본,130,202206,5855
